video_id,fetch_date,rank_today,view_count,like_count,comment_count
0MfMztBIeKY,2025-09-21,1,3430773,272439,7301
uSXJIbT2Up0,2025-09-21,2,895119,17744,185
7w5yqPGz5S8,2025-09-21,3,8749034,980938,282345
WsllF4THOYk,2025-09-21,4,11214905,337504,16181
zdu0YzzJ10o,2025-09-21,5,12429919,206559,4129
kanwMIteR4M,2025-09-21,6,1287894,32150,38
Cn-oMqMhoVE,2025-09-21,7,354599,8517,2229
Dq_Sc85-oyY,2025-09-21,8,802029,5781,131
NPo3hQHZKIM,2025-09-21,9,1754274,18458,104
on2zG57eypQ,2025-09-21,10,305113,1880,32
zHVtd-g0dPg,2025-09-21,11,2868093,62386,1936
ARvhnjlCPTw,2025-09-21,12,2018465,169893,1291
gI8NWRCVLyE,2025-09-21,13,366760,17116,639
BSsT6CzQpk8,2025-09-21,14,185604,2874,35
3Lf9K9CKiXE,2025-09-21,15,2196237,113443,1161
-hZIVX0iv9w,2025-09-21,16,2983293,62560,2084
lomrvBJm_lA,2025-09-21,17,149329,5411,582
Znh-JmXcnbw,2025-09-21,18,1004016,13249,754
aXWHyDHPwDc,2025-09-21,19,1002641,7494,316
_8k8b6EDq6I,2025-09-21,20,239292,16592,1711
Wiu9d6Vujv8,2025-09-21,21,531652,23208,3637
Rfx7HKuUc8Y,2025-09-21,22,721800,130124,11299
1NC4d_eAHto,2025-09-21,23,223251,11051,598
ZqeOEmTiDrM,2025-09-21,24,993692,54675,849
ckMYr9pq3oQ,2025-09-21,25,45982,465,31
k18AR2aQjS8,2025-09-21,26,266331,7878,0
npNmyb-qqGw,2025-09-21,27,10663221,386205,11515
MuGWOtFKTLw,2025-09-21,28,136418,859,23
VmNIhlOL63k,2025-09-21,29,365325,12769,542
fUs9sJL-0Ck,2025-09-21,30,304654,5305,231
Q8nPWsfOEog,2025-09-21,31,616317,2590,44
cPRrlwzjIuo,2025-09-21,32,198843,7729,57
SYAwNR5NQV0,2025-09-21,33,459985,5948,561
2aTFtB6OEdA,2025-09-21,34,131376,1196,52
XpuYP1lBvJk,2025-09-21,35,1059871,35224,3061
QES3536XR1c,2025-09-21,36,1279121,11932,2
twVpWwyGcx0,2025-09-21,37,141487,830,16
joELjYOe0iY,2025-09-21,38,119986,3483,25
BfdsDy31fDk,2025-09-21,39,718844,3259,0
DI3gOn-FVqU,2025-09-21,40,131617,2223,306
C6y2F4vIMHo,2025-09-21,41,17588,255,2
9YB6MUQh2Jc,2025-09-21,42,1536559,69231,7035
yG1ngGJAREY,2025-09-21,43,164476,6900,424
fsRZmbUwYLQ,2025-09-21,44,130968,0,79
RUd6ElRaOv0,2025-09-21,45,164896,473,11
8e1S7Y5KAFM,2025-09-21,46,20604220,266006,14054
f7NdjwEuEKw,2025-09-21,47,107964,7100,258
-BKUiCSGGq4,2025-09-21,48,386002,28056,2628
6OsqXOJnJ8E,2025-09-21,49,364818,18604,667
u7OxDaU_qcA,2025-09-21,50,723967,17793,908
qpmTaLotgpg,2025-09-21,51,447148,26343,47
95T7s-QmLMM,2025-09-21,52,147979,1820,199
