video_id,published_at,channel_id,title,description,channel_title,subscriber_count,channel_published_at,channel_country,channel_video_count,channel_keywords,channel_topic_categories,avg_comment_sentiment,comment_sentiment_std,avg_top_comment_replies,thumbnail_url,tags,category_id,topic_categories,license,live_broadcast_content,default_language,default_audio_language,is_embeddable,made_for_kids,favorite_count,duration,definition,caption,licensed_content,added_at,fetch_timestamp,view_count,like_count,comment_count,duration_seconds,days_since_published,views_per_day,peak_rank,will_trend,days_to_peak,performance_bucket
oLTe_ZXIEdE,2025-10-06 05:30:06+00:00,UCq-Fj5jknLsUf-MWSy4_brA,guru randhawa  pan india  mv  bhushan kumar,,T-Series,305000000,,,,,,,,,,tseries tseries songs pan india song guru randhawa pan india song guru randhawa new song pan india dance song guru randhawa dance song pan india guru randhawa pan india guru randhawa pan india video song guru randhawa songs pan india home rule home rule album guru randhawa home rule home rule album song home rule song pan india video song home rule guru randhawa pan india home rule video song new punjabi song punjabi songs guru randhawa song homerule,10,,,,,,,,,142.0,hd,false,0,2025-10-07T17:54:27.825303,2025-10-07 00:00:00+00:00,8772052,260413,12391,142,0,8772052.0,8772052,1,0,Viral
ED544Luc71o,2025-10-06 06:27:00+00:00,UCnJjcn5FrgrOEp5_N45ZLEQ,bad boy karthik teaser  naga shaurya  vidhi yadav  samuthirakani  harris jayraj   ramesh,,T-Series Telugu,14400000,,,,,,,,,,bad boy karthik teaser naga shaurya new movie vidhi yadav teaser samuthirakani direction harris jayraj telugu music naga shaurya 2025 movie telugu teaser 2025 telugu upcoming movie new telugu action movie harris jayraj songs telugu romantic action teaser naga shaurya teaser vidhi yadav debut telugu hits telugu trailer telugu cinema 2025 trending telugu teaser mass telugu teaser tollywood 2025 telugu promo video bad boy karthik movie teaser,10,,,,,,,,,82.0,hd,false,0,2025-10-07T17:54:27.825303,2025-10-07 00:00:00+00:00,376309,13034,473,82,0,376309.0,376309,0,0,Popular
m5QrMzN7PGs,2025-10-06 14:52:55+00:00,UCugG6-k5QGbq_iDEPAnG4NQ,hindi bmsd 2025  semi finals  day 3,,KRAFTON INDIA ESPORTS,1850000,,,,,,,,,,battlegrounds mobile india battlegroundsmobileindia battlegrounds mobile battlegrounds battlegrounds mobile india official channel battlegrounds mobile india youtube bgmi battlegrounds mobile india release date battlegrounds mobile india teaser,20,,,,,,,,,18570.0,hd,false,0,2025-10-07T17:54:27.825303,2025-10-07 00:00:00+00:00,2366233,74435,258,18570,0,2366233.0,2366233,1,0,High-Performing
VCXgLoKE7bg,2025-10-06 11:27:02+00:00,UCn16w8_6jziKX4FUNOsqYoQ,      yesta helidru kelalila gelati gelati  balu belagundi janapada,,Balu Belagundi Singer,2240000,,,,,,,,,,balu belagundi singer balu belagundi janapada song,10,,,,,,,,,348.0,hd,false,0,2025-10-07T17:54:27.825303,2025-10-07 00:00:00+00:00,284571,24199,994,348,0,284571.0,284571,0,0,Popular
CY7m0KgIHmQ,2025-10-06 01:30:13+00:00,UC_ff05CVlPk1q0zdNVcuwhA,parchhavan  official movie trailer    bhojpuri film 2025  rittesh upadhyay richa dixit,,Bhojpuri Cinema TV Channel,7260000,,,,,,,,,,bhojpuri movie bhojpuri film bhojpuri picture   new bhojpuri movie rittesh upadhyay richa dixit shraddha naval manoj tiger vinod mishra shweta verma sangam rai sweety singh new movie trailer full movie hit trailer trailer trailer 2025 pariwarik movie bhojpuri family movie trending movie trailer hindi trailer bhojpuri trailer movies trending chart full video hd trailer bhojpuri super hit movie bhojpuri film 2025 richa dixit video,24,,,,,,,,,239.0,hd,false,0,2025-10-07T17:54:27.825303,2025-10-07 00:00:00+00:00,347328,2141,53,239,0,347328.0,347328,0,0,Popular
y0r3ycFfg-M,2025-10-06 06:30:37+00:00,UCPjaNv8GlIamrxCbqincG_g,100 days but its team vs team in hardcore minecraft   twist ,,Anshu Bisht,7440000,,,,,,,,,,minecraft gameplay in hindi minecraft gameplay minecraft in hindi gameplay minecraft survival minecraft hindi gaming live insaan gamerfleet techno gamerz minecraft bedrock minecraft android gameplay anshu bisht smartypie yessmartypie ujjwal herobrine smp funny minecraft video smp india fleet smp anshu bisht smp barbarian king jack bhaiya herobrine fleet smp herobrine world oneblock 100 days 100 days minecraft hardcore minecraft hardcore op fire,20,,,,,,,,,6752.0,hd,false,0,2025-10-07T17:54:27.825303,2025-10-07 00:00:00+00:00,1156193,67255,8953,6752,0,1156193.0,1156193,1,0,High-Performing
ko70cExuzZM,2025-10-05 23:00:06+00:00,UCqECaJ8Gagnn7YCbPEzWH6g,taylor swift  the fate of ophelia official music video,,Taylor Swift,61800000,,,,,,,,,,taylor swift taylor swift taylor swift tloas ts12 showgirl the life of a showgirl new taylor swift taylor swift album,10,,,,,,,,,239.0,hd,false,0,2025-10-07T17:54:27.825303,2025-10-07 00:00:00+00:00,16455649,898539,43939,239,1,8227824.5,16455649,1,1,Viral
6RNdL_gjpAs,2025-10-06 11:30:06+00:00,UCjcqzy7MSaN2KPnzOKIcpEQ,feminichi fathima trailer  fasil muhammed  shamla hamza  kumar sunil  thamar  wayfarer films,,Dulquer Salmaan,1700000,,,,,,,,,,feminichi fathima malayalam award movie malayalam dubbed movie lokah lokah full movie best award movie best kerala movie award,1,,,,,,,,,95.0,hd,false,0,2025-10-07T17:54:27.825303,2025-10-07 00:00:00+00:00,130886,4884,213,95,0,130886.0,130886,0,0,Standard
YSpmkwpEbL0,2025-10-07 02:30:34+00:00,UC4AB0_ectRryjCF_ugD0U8w,diwali 2025 item showcase  free fire max,,Free Fire India Official,18100000,,,,,,,,,,,20,,,,,,,,,120.0,hd,false,0,2025-10-07T17:54:27.825303,2025-10-07 00:00:00+00:00,1818803,22834,1833,120,-1,inf,1818803,1,-1,High-Performing
AqUonMjxaog,2025-10-04 15:56:32+00:00,UCrMfMtLp-BR5TMm_oBQiujA,mayabini ratir bukut,,Zubeen Garg - Topic,1430,,,,,,,,,,zubeen garg mayabini ratir bukut,10,,,,,,,,,323.0,hd,false,0,2025-10-07T17:54:27.825303,2025-10-07 00:00:00+00:00,491778,3977,0,323,2,163926.0,491778,0,2,Popular
