video_id,video_published_at,title,tags,channel_id,channel_title,subscriber_count,category_id,category_name,duration_seconds
oLTe_ZXIEdE,2025-10-06T05:30:06Z,GURU RANDHAWA - PAN INDIA - MV - BHUSHAN KUMAR,tseries|tseries songs|pan india song|guru randhawa pan india song|guru randhawa new song|pan india dance song|guru randhawa dance song|pan india guru randhawa|pan india|guru randhawa pan india video song|guru randhawa songs|pan india home rule|home rule album|guru randhawa home rule|home rule album song|home rule song|pan india video song|home rule|guru randhawa pan india|home rule video song|new punjabi song|punjabi songs|guru randhawa song|homerule,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,305000000,10,Music,142.0
ED544Luc71o,2025-10-06T06:27:00Z,Bad Boy Karthik Teaser | Naga Shaurya | Vidhi Yadav | Samuthirakani | Harris Jayraj |  Ramesh,Bad Boy Karthik teaser|Naga Shaurya new movie|Vidhi Yadav teaser|Samuthirakani direction|Harris Jayraj Telugu music|Naga Shaurya 2025 movie|Telugu teaser 2025|Telugu upcoming movie|new Telugu action movie|Harris Jayraj songs|Telugu romantic action teaser|Naga Shaurya teaser|Vidhi Yadav debut|Telugu hits|Telugu trailer|Telugu cinema 2025|trending Telugu teaser|mass Telugu teaser|Tollywood 2025|Telugu promo video|Bad Boy Karthik movie teaser,UCnJjcn5FrgrOEp5_N45ZLEQ,T-Series Telugu,14400000,10,Music,82.0
m5QrMzN7PGs,2025-10-06T14:52:55Z,[Hindi] BMSD 2025 | Semi Finals | Day 3,BATTLEGROUNDS MOBILE INDIA|BATTLEGROUNDSMOBILEINDIA|BATTLEGROUNDS MOBILE|BATTLEGROUNDS|BATTLEGROUNDS MOBILE INDIA OFFICIAL CHANNEL|BATTLEGROUNDS MOBILE INDIA YOUTUBE|BGMI|BATTLEGROUNDS MOBILE INDIA Release date|BATTLEGROUNDS MOBILE INDIA Teaser,UCugG6-k5QGbq_iDEPAnG4NQ,KRAFTON INDIA ESPORTS,1850000,20,Gaming,18570.0
VCXgLoKE7bg,2025-10-06T11:27:02Z,ಎಷ್ಟು ಹೇಳಿದರೂ ಕೇಳಲಿಲ್ಲ ಗೆಳತಿ ಗೆಳತಿ | Yesta Helidru Kelalila Gelati Gelati | Balu Belagundi |Janapada,Balu Belagundi Singer|balu belagundi|Janapada song,UCn16w8_6jziKX4FUNOsqYoQ,Balu Belagundi Singer,2240000,10,Music,348.0
CY7m0KgIHmQ,2025-10-06T01:30:13Z,"Parchhavan - Official Movie Trailer | परछावन | Bhojpuri Film 2025 | Rittesh Upadhyay, Richa dixit",bhojpuri movie|bhojpuri film|bhojpuri picture|भोजपुरी फिल्म|new bhojpuri movie|Rittesh Upadhyay|Richa dixit|Shraddha Naval|Manoj tiger|Vinod mishra|Shweta verma|Sangam rai|Sweety singh|New Movie Trailer|Full Movie|Hit Trailer|trailer|trailer 2025|pariwarik movie|bhojpuri family movie|Trending Movie Trailer|hindi trailer|bhojpuri trailer|movies Trending chart|full video|hd trailer|bhojpuri super hit movie|bhojpuri film 2025|richa dixit video,UC_ff05CVlPk1q0zdNVcuwhA,Bhojpuri Cinema TV Channel,7260000,24,Entertainment,239.0
y0r3ycFfg-M,2025-10-06T06:30:37Z,100 days but Its Team vs Team in Hardcore Minecraft 😱 | Twist ,minecraft gameplay in hindi|minecraft gameplay|minecraft in hindi gameplay|minecraft|survival|minecraft hindi gaming|live insaan|gamerfleet|techno gamerz|minecraft bedrock|minecraft android gameplay|anshu bisht|smartypie|yessmartypie|ujjwal|herobrine smp|funny minecraft video|smp india|fleet smp|anshu bisht smp|barbarian king|jack bhaiya|Herobrine fleet smp|herobrine world|oneblock 100 days|100 DAYS MINECRAFT|Hardcore Minecraft|hardcore|OP FIRE,UCPjaNv8GlIamrxCbqincG_g,Anshu Bisht,7440000,20,Gaming,6752.0
ko70cExuzZM,2025-10-05T23:00:06Z,Taylor Swift - The Fate of Ophelia (Official Music Video),Taylor swift|taylor|swift|taylor swift TLOAS|TS12|Showgirl|The Life of a Showgirl|new taylor swift|taylor swift album,UCqECaJ8Gagnn7YCbPEzWH6g,Taylor Swift,61800000,10,Music,239.0
6RNdL_gjpAs,2025-10-06T11:30:06Z,Feminichi Fathima Trailer | Fasil Muhammed | Shamla Hamza | Kumar Sunil | Thamar | Wayfarer Films,feminichi fathima|malayalam award movie|malayalam dubbed movie|lokah|lokah full movie|best award movie|best kerala movie award,UCjcqzy7MSaN2KPnzOKIcpEQ,Dulquer Salmaan,1700000,1,Film & Animation,95.0
YSpmkwpEbL0,2025-10-07T02:30:34Z,Diwali 2025 Item Showcase | Free Fire MAX,,UC4AB0_ectRryjCF_ugD0U8w,Free Fire India Official,18100000,20,Gaming,120.0
AqUonMjxaog,2025-10-04T15:56:32Z,Mayabini Ratir Bukut,Zubeen garg|Mayabini Ratir Bukut,UCrMfMtLp-BR5TMm_oBQiujA,Zubeen Garg - Topic,1430,10,Music,323.0
